,key_0,Unnamed: 0,product_id,final_list,product_color_id,attribute_name,attribute_value,accessory,blazerscoatsjackets,bottom,onepiece,shoe,sweater,sweatshirthoodie,top
2419,44437,51473,01E607BHRQAJDZ76MJFN7RPRK1,"['rost', 'belted', 'short', 'cinched', 'natural', 'waist', 'pleated', 'fullness', 'long', 'woven', 'short', 'make', 'playful', 'on-point', 'statement', 'citrusy', 'neon', 'hue', 'Simon', 'Miller']",01E607BHSBCWH034NX5TMJH3Z7,category,bottom,0,0,1,0,0,0,0,0
6498,104365,123804,01E6079QFKH4HPZFQ31T6WDRRX,"['elsa', 'slim', 'jean', 'slim', 'knee', 'hem', 'wear-with', 'anything', 'jean', 'designed', 'elongate', 'silhouette', 'offering', 'flattering', 'fit', 'Citizens', 'Of', 'Humanity']",01E6079QG5GTP5JYRCWGRWY4ZC,category,bottom,0,0,1,0,0,0,0,0
5707,93240,110390,01E6079DG58YW9K78D57C6J2Y1,"['ravine', 'cotton', 'midi', 'dress', 'puff', 'sleeve', 'covered', 'rouleau', 'button', 'open-stitch', 'inset', 'hem', 'add', 'charm', 'poplin', 'dress', 'would', 'look', 'right', 'home', 'prairie', 'The', 'Great.']",01E6079DGRR4CHKCPKNY96G15P,category,onepiece,0,0,0,1,0,0,0,0
2808,50512,58649,01E6078G3GRATF2C96VKYYWSGD,"['high', 'waist', 'moto', 'legging', 'pintucked', 'panel', 'create', 'cool', 'moto', 'aesthetic', 'seamless', 'high-rise', 'legging', 'flatter', 'figure', 'Alo']",01E6078G42KZPG57NCP4YG1TBB,category,bottom,0,0,1,0,0,0,0,0
6284,101553,120143,01E6076GTCE5P3VH76VWJH4MY9,"['krissy', 'espadrille', 'flat', 'woven', 'espadrille', 'sole', 'extends', 'chic', 'summery', 'style', 'classic', 'slip-on', 'flat', 'Sam', 'Edelman']",01E6076GTY5Z31KAGGW9HSYRDN,category,shoe,0,0,0,0,1,0,0,0
6289,101622,120219,01E607678BJMRFEZB4AVSTSCSB,"['belted', 'pliss', 'shift', 'dress', 'Sam', 'Edelman']",01E60767B30H3F9YDXGC1S4NGR,category,onepiece,0,0,0,1,0,0,0,0
6479,104114,123436,01E6075KARZHFXKE5Z6256GA4Q,"['gaia', 'stretch', 'twill', 'crop', 'cargo', 'pant', 'cargo', 'style', 'get', 'modern', 'retool', 'cropped', 'version', 'cut', 'french-made', 'cotton', 'twill', 'touch', 'comfortable', 'stretch', 'Citizens', 'Of', 'Humanity']",01E6075KBA69G4T538Z8R117N0,category,bottom,0,0,1,0,0,0,0,0
2421,44459,51498,01E6074PQA697JZ1SBM6NM8TBG,"['nepa', 'mismatched', 'button', 'rib', 'cardigan', 'west', 'coast', 'based', 'label', 'channel', 'beachy', 'vibe', 'cropped', 'ribbed', 'cardigan', 'detailed', 'frosted', 'sea', 'glass', 'inspired', 'button', 'Simon', 'Miller']",01E6074PQY0ATWPDQ9DAYWBDN8,category,sweater,0,0,0,0,0,1,0,0
4087,70067,82058,01E60727P9HBPKY71DTKCD1TKS,"['side', 'stripe', 'pull-on', 'trouser', 'well-tailored', 'style', 'join', 'comfort-driven', 'detail', 'ankle-skimming', 'pant', 'cut', 'pleated', 'front', 'inset', 'side', 'stripe', 'elastic', 'back', 'waist', 'Vince']",01E60727SS0WGNYH4FEMGKG667,category,bottom,0,0,1,0,0,0,0,0
6280,101479,120055,01E6071MFF2JPRSZSXAFZZF2GR,"['isle', 'strappy', 'sandal', 'fresh', 'neutral', 'texture', 'breathe', 'life', 'sandal', 'knotted', 'ankle', 'strap', 'toe', 'loop', 'stacked', 'half-moon', 'heel', 'Sam', 'Edelman']",01E60725V3K79G74M8S62QSK8W,category,shoe,0,0,0,0,1,0,0,0
