,key_0,Unnamed: 0,product_id,final_list,product_color_id,attribute_name,attribute_value,no,yes
1000,28205,32703,01DPCG1C1P0MQAV9NMS3N1TDAA,"['collection', 'fluted', 'sheath', 'dress', 'ratti', 'climbing', 'floral', 'jacquard', 'luxe', 'even', 'begin', 'describe', 'perfect', 'party', 'dress', 'hand-picked', 'stunning', 'floral', 'print', 'como-based', 'archive', 'italy', 'ratti', 'print', 'house', 'home', 'world', 'amazing', 'print', 'since', 'weaved', 'jacquard', 'fabric', 'cut', 'dress', 'print', 'feel', 'fully', 'sync', 'mention', 'classic', 'sheath', 'silhouette', 'panel', 'sheer', 'black', 'fabric', 'fluted', 'hem', 'never', 'go', 'style', 'J.Crew']",01DPCG1C1V68AE07R7MJEBV04A,dry_clean_only,yes,0,1
288,9639,11179,01DPCHNEW5F2RHJQ3NJMVPK6SE,"['long-sleeve', 'everyday', 'cashmere', 'mockneck', 'sweater', 'come', 'quality', 'color', 'one', 'cashmere', 'quite', 'like', 'best-selling', 'crazy-soft', 'sweater', 'result', 'year', 'expertise', 'obsessing', 'fit', 'durability', 'handfeel', 'vibrant', 'custom-developed', 'hue', 'come', 'straight', 'in-house', 'color', 'library', 'season', 'took', 'silhouette', 'best-selling', 'supersoft', 'mockneck', 'sweater', 'made', 'famous', 'everyday', 'cashmere', 'curved', 'hem', 'hit', 'low', 'back', 'thick', 'ribbing', 'detail', 'luxurious', 'finish', 'honor', 'future', 'fiber', ""we're"", 'proud', 'join', 'sustainable', 'fibre', 'alliance', 'sfa', 'international', 'nonprofit', 'working', 'create', 'sustainable', 'cashmere', 'supply', 'chain', 'first', 'member', 'sfa', ""we're"", 'supporting', 'effort', 'ensure', 'animal', 'welfare', 'advocate', 'herding', 'community', 'restore', 'grassland', 'reduce', 'cashmere', 'environmental', 'footprint', 'learn', 'special', 'organization', 'sustainablefibre', 'org', 'sweater', 'J.Crew']",01DPCHNNJWWB6NJDZY1RG5PFDP,dry_clean_only,yes,0,1
614,17990,20817,01DPCHNQM0PA0SXZZZX85PF2ZJ,"['slim', 'boyfriend', 'jean', 'hydrangea', 'blue', 'wash', 'slim', 'boyfriend', 'jean', 'tailored', 'perfectly', 'easy', 'fit', 'hip', 'thigh', 'slim', 'slim', 'leg', 'pair', 'made', 'premium', 'italian', 'denim', 'right', 'amount', 'stretch', 'denim_jeans', 'J.Crew']",01DPCHNQM7FDGGJ2CKEKQWRKGS,dry_clean_only,no,1,0
1174,35174,40710,01DPCQ0CNKKHD3899ZEY9SEDHA,"['curvy', 'slim', 'stretch', 'perfect', 'shirt', 'stripe', 'asked', 'curvier', 'fit', 'signature', 'slim', 'perfect', 'shirt', 'worked', 'hard', 'nail', 'updated', 'perfectly', 'tailored', 'button-up', 'darting', 'front', 'accommodate', 'bigger', 'bust', 'generous', 'stretch', 'fit', 'form', 'right', 'place', 'shirts_tops', 'J.Crew']",01DPCQ0F7NHS5NFBTYYZ930HCT,dry_clean_only,no,1,0
622,18272,21147,01DPD1R0F6Z4EJCPNDKPAG5DPF,"['lebone', 'pant', 'lebone', 'pant', 'tuxedo', 'stripe', 'cut', 'flattering', 'silhouette', 'thanks', 'high', 'rise', 'wide', 'leg', 'love', 'clean', 'streamlined', 'design', 'giving', 'solid', 'base', 'pair', 'detailed', 'top', 'blouse', 'Veronica', 'Beard']",01DPD1R0FA2XA54FHFMVF9KJ47,dry_clean_only,yes,0,1
1068,30649,35505,01DPD2FGA0FWFXJCKMT5QBJYHK,"['ravello', 'skirt', 'playful', 'wallflower', 'print', 'ravello', 'skirt', 'feature', 'signature', 'side', 'ruching', 'along', 'ruffle', 'detailing', 'flattering', 'fit', 'thick', 'elastic', 'grosgrain', 'underneath', 'provides', 'added', 'support', 'mini', 'style', 'pair', 'well', 'boxy', 'sweater', 'sleek', 'pump', 'delivering', 'fashion-forward', 'look', 'work', 'dinner', 'beyond', 'Veronica', 'Beard']",01DPD2FGA53VKNBKFMG1W65X1T,dry_clean_only,yes,0,1
624,18296,21176,01DPD2FYRJG5WKXX8HEKRN9J9B,"['merci', 'blouse', 'retro', 'vibe', 'modern', 'sensibility', 'merci', 'blouse', 'make', 'chic', 'partner', 'season', 'high-waist', 'skirt', 'short', 'cropped', 'silk', 'design', 'feature', 'cap', 'sleeve', 'notched', 'lapel', 'available', 'white', 'top', 'Veronica', 'Beard']",01DPD2FYRPXTZN8R0TCP2JACH4,dry_clean_only,yes,0,1
1070,30704,35572,01DPD2GDFTFSPPDSNPFQ0W3PQ7,"['eden', 'blouse', 'eden', 'blouse', 'tonal', 'floral', 'jacquard', 'exudes', 'romantic', 'feminine', 'style', 'wrap', 'blouse', 'also', 'feature', 'puffed', 'shoulder', 'self-ties', 'waist', 'adding', 'elegant', 'appeal', 'look', 'wear', 'wide', 'leg', 'trouser', 'sharp', 'pump', 'sophistication', 'finest', 'top', 'Veronica', 'Beard']",01DPD2GDFZQ5V101YJ15W8BGMM,dry_clean_only,yes,0,1
626,18330,21215,01DPD2MH54WBM1PCZAJTQ91S1Y,"['carla', 'crew-neck', 'tee', 'metal', 'crest', 'button', 'give', 'stylish', 'finish', 'carla', 't-shirt', 'making', 'tee', 'anything', 'basic', 'soft', 'crew-neck', 'style', 'easy', 'effortless', 'every', 'day', 'button', 'accent', 'deliver', 'dose', 'signature', 'glamour', 'Veronica', 'Beard']",01DPD2MH58YG7XQC4QMMZ971W3,dry_clean_only,no,1,0
628,18361,21252,01DPD3AGTNRNAKNP8TH9WYG35X,"['theron', 'jacket', 'theron', 'jacket', 'classic', 'style', 'reach', 'season', 'season', 'tweed', 'fabrication', 'timeless', 'color', 'palette', 'piece', 'also', 'offer', 'cool', 'factor', 'thanks', 'heavily', 'frayed', 'hem', 'wear', 'distressed', 'jean', 'sleek', 'heel', 'complete', 'elegance-meets', 'edgy', 'look', 'love', 'jacket', 'Veronica', 'Beard']",01DPD3AGTWDH6VEF85BXC62NR7,dry_clean_only,yes,0,1
620,18238,21104,01DPD4R5X5TQCWTVTC2AEAFC10,"['ida', 'dress', 'ida', 'floral', 'silk-georgette', 'dress', 'feature', 'bohemian', 'floral', 'print', 'lace', 'inset', 'flounced', 'skirt', 'ground', 'airy', 'bohemian', 'style', 'dress', 'statement', 'booty', 'dress', 'Veronica', 'Beard']",01DPD4R5X9YMVNZ59HV2ZD84ZX,dry_clean_only,yes,0,1
630,18438,21346,01DPD7KN5438Z6VNZKFTTGY34G,"['colvin', 'pant', 'colvin', 'suiting', 'pant', 'feature', 'stretch', 'fabrication', 'make', 'comfortable', 'chic', 'button', 'side', 'waist', 'add', 'sophisticated', 'detail', 'elegant', 'style', 'tuck', 'floral', 'blouse', 'coordinating', 'jacket', 'set', 'conquer', 'day', 'bottom', 'Veronica', 'Beard']",01DPD7KN587FXS9710Q1P22TY7,dry_clean_only,yes,0,1
48,1413,1653,01DPER5W0953YAH19AA4XDV00F,"['scoopneck', 'ribbed', 'henley', 't-shirt', 'stripe', 'ultimate', 'tee', 'tucking', 'high-rise', 'denim', 'pant', 'flattering', 'slim', 'fit', 'henley', 'neckline', 'throwback-style', 'half', 'sleeve', 'plus', 'touch', 'stretch', 'super-flattering', 'finish', 'shirts_tops', 'J.Crew']",01DPER5WP7JMWA55XYG92PWQRZ,dry_clean_only,no,1,0
32,876,1030,01DPES95BX86GKMS1ZSJP1CS83,"['pull-on', 'toothpick', 'jean', 'black', 'everything', 'love', 'jean', 'easy', 'pull-on', 'waistband', 'denim_jeans', 'J.Crew']",01DPES95C1PHXT80ANC08YF1H2,dry_clean_only,no,1,0
56,1556,1816,01DPESC70Q027MGKH56D1JNJHX,"['wrap-tie', 'jumpsuit', 'chambray', 'best-selling', 'jumpsuit', 'back', 'popular', 'demand', 'love', 'wrap-tie', 'silhouette', 'slight', 'stretch', 'roomy', 'pocket', 'wide', 'leg', 'kind', 'closet', 'staple', 'wear', 'anywhere', 'anytime', 'dressesandjumpsuits', 'J.Crew']",01DPESC70W257CVMCPVPC0YD9B,dry_clean_only,no,1,0
346,10998,12779,01DPESK4FY8GNM431AE3FPSAFY,"['pencil', 'skirt', 'overize', 'houndstooth', 'asked', 'answered', 'original', 'pencil', 'skirt', 'back', 'classic', 'style', 'sits', 'waist', 'famously', 'flattering', 'knee-length', 'know', 'love', 'talk', 'looking', 'sharp', 'crafted', 'special', 'textured', 'tweed', 'surprisingly', 'soft', 'heavy', 'wear', 'fall', 'also', 'made', 'matching', 'lady', 'jacket', 'suiting', 'J.Crew']",01DPESK4G3GW2RT1PDG8WYPAW3,dry_clean_only,yes,0,1
24,658,768,01DPESWQ02NWKBDKA07T5ATPXV,"['linen', 'wrap', 'dress', 'everyone', 'favorite', 'flattering', 'silhouette', 'lightweight', 'linen', 'aka', 'warm-weather', 'mvp', 'swimwear', 'J.Crew']",01DPESWQ06C9WY4RKS3M8NBZ4G,dry_clean_only,no,1,0
18,560,658,01DPETFFTSDHQ66H03T0F58NX7,"['hanro', 'ultralight', 'spaghetti', 'camisole', 'made', 'supersoft', 'mercerized', 'cotton', 'feel', 'like', 'second', 'skin', 'airy', 'camisole', 'feature', 'subtle', 'scoop', 'neckline', 'adjustable', 'satin', 'strap', 'customize', 'fit', 'minimalist', 'modern', 'hanro', 'luxe', 'undergarment', 'label', 'crafting', 'refreshingly', 'simple', 'design', 'premium', 'material', 'aka', 'not-so', 'basic', 'basic', 'year', 'pajamas_intimates', 'J.Crew']",01DPETFHH2SE8MMBTTQVXHGPKN,dry_clean_only,no,1,0
348,11031,12817,01DPETPH8KWSV94YXR9GAWAF16,"['résum', 'dress', 'stretch', 'linen', 'sleek', 'sheath', 'silhouette', 'feature', 'flattering', 'cap', 'sleeve', 'pocket', 'office-friendly', 'linen', 'polished', 'sheen', 'hint', 'stretch', 'long', 'day', 'move', 'sitting', 'desk', 'word', 'completely', 'qualified', 'handle', 'whatever', 'come', 'way', 'interview', 'meeting', 'mdash', 'name', 'plus', 'match', 'back', 'best-selling', 'parke', 'blazer', 'day', 'want', 'look', 'extra-polished', 'dressesandjumpsuits', 'J.Crew']",01DPETPVXY72FZCFHNGH3X8J63,dry_clean_only,yes,0,1
340,10924,12688,01DPETRNK95D68PFASVNTWZDHC,"['pencil', 'skirt', 'italian', 'stretch', 'wool', 'asked', 'listened', 'original', 'pencil', 'skirt', 'silhouette', 'back', 'feature', 'exactly', 'missing', 'mdash', 'like', 'waistband', 'sits', 'lower', 'waist', 'still-flattering', 'knee', 'length', 'plus', 'crafted', 'stretch', 'wool', 'found', 'tollegno', 'est', 'one', 'italy', 'oldest', 'mill', 'skirt', 'J.Crew']",01DPETRVYZXE04DM7RQZS39HSQ,dry_clean_only,yes,0,1
10,381,453,01DPGS2915ZZY5BGMZPVB0Z3AN,"['demylee', 'harriett', 'cashmere', 'sweater', 'new', 'york-based', 'designer', 'demy', 'lee', 'known', 'cozy', 'cult-favorite', 'sweater', 'combine', 'luxurious', 'fiber', 'versatile', 'everyday', 'wearability', 'modern', 'mock', 'neck', 'gently', 'flared', 'sleeve', 'easy', 'slightly', 'boxy', 'cashmere', 'sweater', 'become', 'cold', 'weather', 'go-to', 'closet', 'sweater', 'J.Crew']",01DPGS2919DE9SVTJTQG4D7EJR,dry_clean_only,yes,0,1
