,key_0,Unnamed: 0,product_id,final_list,product_color_id,attribute_name,attribute_value,buckles,embroidery,fringe,lace,mesh,ruffles,sequins,studs,trim
196,53515,62147,01E2M37FHVG8X5EWC6GTMAN49Y,"['hazina', 'stud', 'detail', 'pant', 'stud', 'add', 'sizzle', 'curve-loving', 'pant', 'super-skinny', 'cut', 'hit', 'ankle', 'Joie']",01E2M37FJ6B57H370BN42JDKWG,embellishment,studs,0,0,0,0,0,0,0,1,0
197,53560,62199,01E2M33TEMPM7E97TNQ08188Z1,"['ansell', 'flutter', 'sleeve', 'top', 'bring', 'boost', 'prettiness', 'everyday', 'lineup', 'geometric-printed', 'blouse', 'shaped', 'flutter', 'sleeve', 'figure-defining', 'seaming', 'shirring', 'Joie']",01E2M33TF0ZHAJZ163GSWQASTH,embellishment,ruffles,0,0,0,0,0,1,0,0,0
195,51338,59593,01E2KYC00P1GX7YAZ4DD0F18B0,"['impact', 'high', 'waist', 'legging', 'mesh', 'inset', 'help', 'keep', 'cool', 'comfortable', 'work', 'sweat', 'high-waist', 'legging', 'Alo']",01E2KYC066V0B17G0A0KNXK4TV,embellishment,mesh,0,0,0,0,1,0,0,0,0
180,47049,54550,01E2C4YQKE1334Q09FV6W6SK16,"['eyelet', 'border', 'top', 'tonal', 'embroidery', 'add', 'subtle', 'texture', 'woven', 'cotton', 'top', 'complete', 'ruffled', 'sleeve', 'square', 'neck', 'English', 'Factory']",01E2C4YQKTSBE56R7SBMAYV2KZ,embellishment,embroidery,0,1,0,0,0,0,0,0,0
185,48144,55809,01E223EX1A4YWW8BE5FF4WAVY2,"['ryan', 'lace', 'inset', 'ruffle', 'maxi', 'dress', 'whether', 'headed', 'farmhouse', 'veranda', 'urban', 'terrace', 'modern', 'prairie', 'appeal', 'lacy', 'cotton', 'maxi', 'dress', 'welcome', 'Loveshackfancy']",01E223EX1QD7F7AME1WJWN5SRR,embellishment,embroidery,0,1,0,0,0,0,0,0,0
188,48255,55936,01E1JM23W77GK5KBFC1V9N0WCN,"['aveline', 'ruffle', 'knit', 'cotton', 'blend', 'top', 'ruffle', 'add', 'pert', 'touch', 'shoulder', 'trailing', 'puffed', 'sleeve', 'cotton-blend', 'top', 'knit', 'stripe', 'delicate', 'openwork', 'stitch', 'Ulla', 'Johnson']",01E1JM23YRSWD7E5XS7R4DPV3E,embellishment,ruffles,0,0,0,0,0,1,0,0,0
187,48231,55905,01E1JKYEPQZQNHQ84FM6XDZ58Q,"['lilliana', 'metallic', 'stripe', 'maxi', 'dress', 'metallic', 'stripe', 'shoot', 'across', 'easy', 'ruffled', 'frock', 'subtle', 'shine', 'every', 'angle', 'Ulla', 'Johnson']",01E1JKYEQ1EN689GR04CZHSYDC,embellishment,ruffles,0,0,0,0,0,1,0,0,0
189,49275,57158,01E1JKY4XGATSBAYDRTN86TSHS,"['double', 'printed', 'loafer', 'glinting', 'double', 'bit', 'hardware', 'elegantly', 'front', 'sleek', 'italian-made', 'loafer', 'boasting', 'arch', 'support', 'water-repellent', 'design', ""Tod'S""]",01E1JKYQNQEEVRNJ2MMSZPN1N7,embellishment,buckles,1,0,0,0,0,0,0,0,0
193,49509,57434,01E1JKXPBJ02K4E8132X4X8W2C,"['ville', 'boot', 'decorative', 'stitching', 'highlight', 'western-influence', 'on-trend', 'bootie', 'dual', 'buckle', 'strap', 'punctuated', 'small', 'stud', 'Roan']",01E1JKXPBXKRQGB2MMBGH4WCA8,embellishment,buckles,1,0,0,0,0,0,0,0,0
198,88158,104232,01E1JKX5B5NRJ7JHW94R86Q1M0,"['brenda', 'high', 'waist', 'rip', 'slim', 'leg', 'jean', 'find', 'girl', 'grungy', 'high-waist', 'jean', 'made', 'nonstretch', 'denim', 'ripped', 'knee', 'authentic', 'vintage', 'flair', 'Anine', 'Bing']",01E1JKX5BJD21J4Y26SF5T6653,embellishment,trim,0,0,0,0,0,0,0,0,1
182,48031,55669,01E1JKVWY41ZP30HFK80TCREE9,"['amor', 'amor', 'maxi', 'slipdress', 'elevate', 'boho-chic', 'vibe', 'free-flowing', 'sleeveless', 'maxi', 'detailed', 'sparkly', 'beading', 'flouncy', 'ruffled', 'hem', 'Free', 'People']",01E1JKW2SF78XEX4KTX2X8T3VH,embellishment,embroidery,0,1,0,0,0,0,0,0,0
