,key_0,Unnamed: 0,product_id,final_list,product_color_id,attribute_name,attribute_value,coldweather,daytonight,nightout,vacation,weekend,work,workout
5971,44435,51468,01E607BHRQAJDZ76MJFN7RPRK1,"['rost', 'belted', 'short', 'cinched', 'natural', 'waist', 'pleated', 'fullness', 'long', 'woven', 'short', 'make', 'playful', 'on-point', 'statement', 'citrusy', 'neon', 'hue', 'Simon', 'Miller']",01E607BHSBCWH034NX5TMJH3Z7,occasion,weekend,0,0,0,0,1,0,0
15069,104366,123805,01E6079QFKH4HPZFQ31T6WDRRX,"['elsa', 'slim', 'jean', 'slim', 'knee', 'hem', 'wear-with', 'anything', 'jean', 'designed', 'elongate', 'silhouette', 'offering', 'flattering', 'fit', 'Citizens', 'Of', 'Humanity']",01E6079QG5GTP5JYRCWGRWY4ZC,occasion,weekend,0,0,0,0,1,0,0
13433,93241,110391,01E6079DG58YW9K78D57C6J2Y1,"['ravine', 'cotton', 'midi', 'dress', 'puff', 'sleeve', 'covered', 'rouleau', 'button', 'open-stitch', 'inset', 'hem', 'add', 'charm', 'poplin', 'dress', 'would', 'look', 'right', 'home', 'prairie', 'The', 'Great.']",01E6079DGRR4CHKCPKNY96G15P,occasion,weekend,0,0,0,0,1,0,0
6852,50524,58662,01E6078G3GRATF2C96VKYYWSGD,"['high', 'waist', 'moto', 'legging', 'pintucked', 'panel', 'create', 'cool', 'moto', 'aesthetic', 'seamless', 'high-rise', 'legging', 'flatter', 'figure', 'Alo']",01E6078G42KZPG57NCP4YG1TBB,occasion,workout,0,0,0,0,0,0,1
14625,101548,120137,01E6076GTCE5P3VH76VWJH4MY9,"['krissy', 'espadrille', 'flat', 'woven', 'espadrille', 'sole', 'extends', 'chic', 'summery', 'style', 'classic', 'slip-on', 'flat', 'Sam', 'Edelman']",01E6076GTY5Z31KAGGW9HSYRDN,occasion,weekend,0,0,0,0,1,0,0
14633,101626,120227,01E607678BJMRFEZB4AVSTSCSB,"['belted', 'pliss', 'shift', 'dress', 'Sam', 'Edelman']",01E60767B30H3F9YDXGC1S4NGR,occasion,nightout,0,0,1,0,0,0,0
15028,104105,123425,01E6075KARZHFXKE5Z6256GA4Q,"['gaia', 'stretch', 'twill', 'crop', 'cargo', 'pant', 'cargo', 'style', 'get', 'modern', 'retool', 'cropped', 'version', 'cut', 'french-made', 'cotton', 'twill', 'touch', 'comfortable', 'stretch', 'Citizens', 'Of', 'Humanity']",01E6075KBA69G4T538Z8R117N0,occasion,weekend,0,0,0,0,1,0,0
5975,44460,51499,01E6074PQA697JZ1SBM6NM8TBG,"['nepa', 'mismatched', 'button', 'rib', 'cardigan', 'west', 'coast', 'based', 'label', 'channel', 'beachy', 'vibe', 'cropped', 'ribbed', 'cardigan', 'detailed', 'frosted', 'sea', 'glass', 'inspired', 'button', 'Simon', 'Miller']",01E6074Z2Z3PV4GJ0TC71RRASB,occasion,vacation,0,0,0,1,0,0,0
9765,70064,82055,01E60727P9HBPKY71DTKCD1TKS,"['side', 'stripe', 'pull-on', 'trouser', 'well-tailored', 'style', 'join', 'comfort-driven', 'detail', 'ankle-skimming', 'pant', 'cut', 'pleated', 'front', 'inset', 'side', 'stripe', 'elastic', 'back', 'waist', 'Vince']",01E60727SS0WGNYH4FEMGKG667,occasion,daytonight,0,1,0,0,0,0,0
14613,101486,120063,01E6071MFF2JPRSZSXAFZZF2GR,"['isle', 'strappy', 'sandal', 'fresh', 'neutral', 'texture', 'breathe', 'life', 'sandal', 'knotted', 'ankle', 'strap', 'toe', 'loop', 'stacked', 'half-moon', 'heel', 'Sam', 'Edelman']",01E6072TNVFJK05BXN62PND9CV,occasion,daytonight,0,1,0,0,0,0,0
15020,104049,123342,01E60710RJME1ADG2P26BGBQJ2,"['rocket', 'crop', 'skinny', 'jean', 'ankle-grazing', 'skinny', 'cut', 'premium', 'denim', 'feature', 'perfect', 'fade', 'go', 'everything', 'Citizens', 'Of', 'Humanity']",01E60710TXTG7K84PT2CVEETSN,occasion,daytonight,0,1,0,0,0,0,0
14628,101565,120155,01E6070VRWB5CXSBDCFNWB2NMF,"['danna', 'pointy', 'toe', 'pump', 'step', 'sophisticated', 'style', 'shapely', 'pump', 'lifted', 'slender', 'stiletto', 'heel', 'Sam', 'Edelman']",01E6071TH93ZFC7GAJCSKGFPT6,occasion,nightout,0,0,1,0,0,0,0
8647,63158,73947,01E6070PV3HPRF6R499Q7N0M88,"['heavy', 'crepe', 'blouse', 'nicely', 'weighted', 'crepe', 'provides', 'beautiful', 'drape', 'loose-cut', 'blouse', 'framed', 'voluminous', 'bishop', 'sleeve', 'Ganni']",01E6070PWDZ4V52S833GWJFJQJ,occasion,weekend,0,0,0,0,1,0,0
