,key_0,Unnamed: 0,product_id,final_list,product_color_id,attribute_name,attribute_value,androgynous,athleisure,boho,businesscasual,casual,classic,edgy,glam,modern,retro,romantic
7681,44430,51463,01E607BHRQAJDZ76MJFN7RPRK1,"['rost', 'belted', 'short', 'cinched', 'natural', 'waist', 'pleated', 'fullness', 'long', 'woven', 'short', 'make', 'playful', 'on-point', 'statement', 'citrusy', 'neon', 'hue', 'Simon', 'Miller']",01E607BHSBCWH034NX5TMJH3Z7,style,casual,0,0,0,0,1,0,0,0,0,0,0
17747,104367,123806,01E6079QFKH4HPZFQ31T6WDRRX,"['elsa', 'slim', 'jean', 'slim', 'knee', 'hem', 'wear-with', 'anything', 'jean', 'designed', 'elongate', 'silhouette', 'offering', 'flattering', 'fit', 'Citizens', 'Of', 'Humanity']",01E6079QG5GTP5JYRCWGRWY4ZC,style,classic,0,0,0,0,0,1,0,0,0,0,0
15648,93244,110395,01E6079DG58YW9K78D57C6J2Y1,"['ravine', 'cotton', 'midi', 'dress', 'puff', 'sleeve', 'covered', 'rouleau', 'button', 'open-stitch', 'inset', 'hem', 'add', 'charm', 'poplin', 'dress', 'would', 'look', 'right', 'home', 'prairie', 'The', 'Great.']",01E6079DGRR4CHKCPKNY96G15P,style,boho,0,0,1,0,0,0,0,0,0,0,0
8710,50510,58646,01E6078G3GRATF2C96VKYYWSGD,"['high', 'waist', 'moto', 'legging', 'pintucked', 'panel', 'create', 'cool', 'moto', 'aesthetic', 'seamless', 'high-rise', 'legging', 'flatter', 'figure', 'Alo']",01E6078M3MMSAETKP9PD5DPRR2,style,casual,0,0,0,0,1,0,0,0,0,0,0
17223,101546,120134,01E6076GTCE5P3VH76VWJH4MY9,"['krissy', 'espadrille', 'flat', 'woven', 'espadrille', 'sole', 'extends', 'chic', 'summery', 'style', 'classic', 'slip-on', 'flat', 'Sam', 'Edelman']",01E6076GTY5Z31KAGGW9HSYRDN,style,casual,0,0,0,0,1,0,0,0,0,0,0
17238,101620,120216,01E607678BJMRFEZB4AVSTSCSB,"['belted', 'pliss', 'shift', 'dress', 'Sam', 'Edelman']",01E60767B30H3F9YDXGC1S4NGR,style,modern,0,0,0,0,0,0,0,0,1,0,0
17710,104107,123429,01E6075KARZHFXKE5Z6256GA4Q,"['gaia', 'stretch', 'twill', 'crop', 'cargo', 'pant', 'cargo', 'style', 'get', 'modern', 'retool', 'cropped', 'version', 'cut', 'french-made', 'cotton', 'twill', 'touch', 'comfortable', 'stretch', 'Citizens', 'Of', 'Humanity']",01E6075KBA69G4T538Z8R117N0,style,casual,0,0,0,0,1,0,0,0,0,0,0
7687,44477,51521,01E6074PQA697JZ1SBM6NM8TBG,"['nepa', 'mismatched', 'button', 'rib', 'cardigan', 'west', 'coast', 'based', 'label', 'channel', 'beachy', 'vibe', 'cropped', 'ribbed', 'cardigan', 'detailed', 'frosted', 'sea', 'glass', 'inspired', 'button', 'Simon', 'Miller']",01E6074Z2Z3PV4GJ0TC71RRASB,style,modern,0,0,0,0,0,0,0,0,1,0,0
11802,70074,82066,01E60727P9HBPKY71DTKCD1TKS,"['side', 'stripe', 'pull-on', 'trouser', 'well-tailored', 'style', 'join', 'comfort-driven', 'detail', 'ankle-skimming', 'pant', 'cut', 'pleated', 'front', 'inset', 'side', 'stripe', 'elastic', 'back', 'waist', 'Vince']",01E60727SS0WGNYH4FEMGKG667,style,modern,0,0,0,0,0,0,0,0,1,0,0
17210,101517,120096,01E6071MFF2JPRSZSXAFZZF2GR,"['isle', 'strappy', 'sandal', 'fresh', 'neutral', 'texture', 'breathe', 'life', 'sandal', 'knotted', 'ankle', 'strap', 'toe', 'loop', 'stacked', 'half-moon', 'heel', 'Sam', 'Edelman']",01E60725V3K79G74M8S62QSK8W,style,modern,0,0,0,0,0,0,0,0,1,0,0
